Q3	Q4a	Q4b	Q4c	Q4d	Q4e	Q5a	Q5b	Q5c	Q6	Q7a	Q7b	Q7c	Q7d	Q7e	Q7f	Q7g	Q7h	Q7i	Q7j	Q7k	Q7l	Q8a	Q8b	Q8c	Q10	Q15	Q15b	Q16	Q1	CODERESP
8	8	98	8	98	98	5	5	5	5	8	5	8	8	8	5	8	5	8	8	9	5	8	8	98	8	8	5	8	1	170
10	10	5	10	8	7	10	10	10	10	9	10	10	9	10	10	10	98	10	10	10	10	5	5	5	10	10	5	10	1	286
6	7	7	7	4	98	10	10	9	5	6	5	4	6	5	5	6	5	7	6	8	4	5	5	5	6	5	5	5	1	131
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1	39
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1	68
10	10	10	10	10	10	8	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	1	435
9	9	9	9	98	98	7	7	9	9	9	9	9	9	9	8	8	9	9	9	8	8	7	7	5	8	7	10	10	1	358
9	8	7	7	7	7	9	8	8	9	8	9	7	7	7	8	8	98	8	8	8	7	7	6	98	9	8	8	8	1	426
8	10	8	10	9	7	8	8	8	9	8	98	7	98	8	8	10	98	8	8	10	8	9	8	8	9	9	10	9	1	411
9	10	5	7	6	5	10	10	10	9	8	9	9	8	7	8	8	9	9	8	8	8	3	3	5	5	8	8	8	1	31
8	5	5	8	8	98	9	9	10	9	8	8	9	98	9	8	9	98	8	10	9	10	8	8	98	9	10	9	8	1	311
8	10	98	6	8	98	8	9	9	9	8	98	8	7	8	8	9	8	6	8	8	3	6	5	98	10	10	10	8	1	100
9	9	10	9	8	98	10	10	10	8	8	8	8	8	8	9	8	8	9	9	10	8	7	7	7	8	8	8	8	1	440
8	5	5	5	5	5	10	10	8	10	8	10	10	98	6	7	10	8	8	7	10	5	5	5	5	5	8	5	6	1	432
8	8	98	7	9	98	10	10	10	8	9	9	10	10	6	7	9	98	7	98	10	98	5	5	98	5	8	8	8	1	428
8	8	98	8	98	98	10	10	10	8	8	8	9	98	8	8	8	98	8	7	10	7	6	6	98	5	9	7	8	1	175
8	8	8	8	7	7	8	9	9	8	8	8	9	8	7	7	8	8	9	9	9	8	7	7	7	8	8	8	7	1	289
8	9	5	7	7	7	8	8	8	7	8	6	7	7	5	8	7	5	9	7	10	7	5	7	7	5	6	7	7	1	334
7	8	7	8	6	7	8	8	8	8	7	7	6	7	8	8	7	6	8	7	8	6	5	5	6	1	5	8	5	1	94
8	7	98	7	4	98	8	5	8	7	8	98	7	5	9	8	8	98	8	5	10	5	8	8	8	8	6	6	5	1	247
7	6	98	6	6	98	98	10	10	7	7	98	8	6	7	4	98	98	6	6	5	4	4	5	5	4	5	5	5	1	394
7	5	98	5	98	98	7	8	8	7	6	5	7	7	5	6	7	98	8	7	8	98	5	5	98	8	7	5	5	1	258
7	7	8	5	6	98	10	10	10	6	7	6	7	7	4	4	7	8	4	5	10	6	5	7	7	5	6	6	6	1	209
6	8	5	8	5	5	7	6	6	6	7	7	7	6	5	6	7	5	7	6	8	5	6	6	98	1	7	7	6	1	115
6	5	5	5	3	5	8	8	7	4	5	5	5	5	3	4	5	98	7	5	7	5	4	4	4	5	5	5	5	1	232
3	4	5	4	4	98	8	8	8	3	4	8	5	5	3	7	6	98	4	3	5	98	3	98	6	1	4	1	3	1	111
10	10	10	10	10	8	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1	360
10	10	10	10	10	10	10	10	10	10	10	10	10	98	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1	381
10	10	10	10	10	98	10	10	10	10	10	8	8	10	10	10	10	8	10	8	10	8	10	10	8	10	10	10	10	1	46
10	10	10	10	10	98	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	8	8	10	10	10	10	10	1	408
10	10	10	10	10	98	10	10	10	10	10	10	10	10	10	10	10	98	10	10	10	10	10	10	10	10	10	10	9	1	109
10	10	10	10	10	10	8	10	10	10	9	9	9	10	9	10	10	5	10	10	10	9	9	9	10	10	10	10	9	1	320
10	10	9	10	9	10	9	9	10	10	10	9	10	10	10	10	10	9	9	10	10	10	9	9	9	10	9	9	9	1	436
10	10	10	10	7	98	10	10	9	10	10	9	9	7	9	10	10	98	10	9	10	8	8	9	9	10	8	10	9	1	398
10	10	9	10	9	98	8	10	9	10	9	9	10	9	10	10	10	7	10	10	10	7	10	9	9	10	10	10	9	1	69
8	8	98	8	98	98	5	5	5	5	8	5	8	8	8	5	8	5	8	8	9	5	8	8	98	8	8	5	8	1	170
10	10	5	10	8	7	10	10	10	10	9	10	10	9	10	10	10	98	10	10	10	10	5	5	5	10	10	5	10	1	286
6	7	7	7	4	98	10	10	9	5	6	5	4	6	5	5	6	5	7	6	8	4	5	5	5	6	5	5	5	1	131
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1	39
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1	68
10	10	10	10	10	10	8	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	1	435
9	9	9	9	98	98	7	7	9	9	9	9	9	9	9	8	8	9	9	9	8	8	7	7	5	8	7	10	10	1	358
9	8	7	7	7	7	9	8	8	9	8	9	7	7	7	8	8	98	8	8	8	7	7	6	98	9	8	8	8	1	426
8	10	8	10	9	7	8	8	8	9	8	98	7	98	8	8	10	98	8	8	10	8	9	8	8	9	9	10	9	1	411
9	10	5	7	6	5	10	10	10	9	8	9	9	8	7	8	8	9	9	8	8	8	3	3	5	5	8	8	8	1	31
8	5	5	8	8	98	9	9	10	9	8	8	9	98	9	8	9	98	8	10	9	10	8	8	98	9	10	9	8	1	311
8	10	98	6	8	98	8	9	9	9	8	98	8	7	8	8	9	8	6	8	8	3	6	5	98	10	10	10	8	1	100
9	9	10	9	8	98	10	10	10	8	8	8	8	8	8	9	8	8	9	9	10	8	7	7	7	8	8	8	8	1	440
8	5	5	5	5	5	10	10	8	10	8	10	10	98	6	7	10	8	8	7	10	5	5	5	5	5	8	5	6	1	432
8	8	98	7	9	98	10	10	10	8	9	9	10	10	6	7	9	98	7	98	10	98	5	5	98	5	8	8	8	1	428
8	8	98	8	98	98	10	10	10	8	8	8	9	98	8	8	8	98	8	7	10	7	6	6	98	5	9	7	8	1	175
8	8	8	8	7	7	8	9	9	8	8	8	9	8	7	7	8	8	9	9	9	8	7	7	7	8	8	8	7	1	289
8	9	5	7	7	7	8	8	8	7	8	6	7	7	5	8	7	5	9	7	10	7	5	7	7	5	6	7	7	1	334
7	8	7	8	6	7	8	8	8	8	7	7	6	7	8	8	7	6	8	7	8	6	5	5	6	1	5	8	5	1	94
8	7	98	7	4	98	8	5	8	7	8	98	7	5	9	8	8	98	8	5	10	5	8	8	8	8	6	6	5	1	247
7	6	98	6	6	98	98	10	10	7	7	98	8	6	7	4	98	98	6	6	5	4	4	5	5	4	5	5	5	1	394
7	5	98	5	98	98	7	8	8	7	6	5	7	7	5	6	7	98	8	7	8	98	5	5	98	8	7	5	5	1	258
7	7	8	5	6	98	10	10	10	6	7	6	7	7	4	4	7	8	4	5	10	6	5	7	7	5	6	6	6	1	209
6	8	5	8	5	5	7	6	6	6	7	7	7	6	5	6	7	5	7	6	8	5	6	6	98	1	7	7	6	1	115
6	5	5	5	3	5	8	8	7	4	5	5	5	5	3	4	5	98	7	5	7	5	4	4	4	5	5	5	5	1	232
3	4	5	4	4	98	8	8	8	3	4	8	5	5	3	7	6	98	4	3	5	98	3	98	6	1	4	1	3	1	111
10	10	10	10	10	8	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1	360
10	10	10	10	10	10	10	10	10	10	10	10	10	98	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1	381
10	10	10	10	10	98	10	10	10	10	10	8	8	10	10	10	10	8	10	8	10	8	10	10	8	10	10	10	10	1	46
10	10	10	10	10	98	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	8	8	10	10	10	10	10	1	408
10	10	10	10	10	98	10	10	10	10	10	10	10	10	10	10	10	98	10	10	10	10	10	10	10	10	10	10	9	1	109
10	10	10	10	10	10	8	10	10	10	9	9	9	10	9	10	10	5	10	10	10	9	9	9	10	10	10	10	9	1	320
10	10	9	10	9	10	9	9	10	10	10	9	10	10	10	10	10	9	9	10	10	10	9	9	9	10	9	9	9	1	436
10	10	10	10	7	98	10	10	9	10	10	9	9	7	9	10	10	98	10	9	10	8	8	9	9	10	8	10	9	1	398
10	10	9	10	9	98	8	10	9	10	9	9	10	9	10	10	10	7	10	10	10	7	10	9	9	10	10	10	9	1	69
6	7	6	7	6	5	7	8	8	6	6	7	6	6	5	7	7	98	8	8	7	7	5	5	4	5	5	5	5	2	90
6	7	4	5	5	5	7	8	8	5	7	5	5	7	5	7	6	4	7	8	8	5	3	4	6	4	5	4	4	2	395
8	10	98	8	8	8	8	10	10	4	5	5	5	5	8	5	5	98	1	1	8	5	5	5	5	8	5	1	3	2	333
3	5	3	3	3	98	98	8	10	4	4	4	2	98	8	3	5	98	7	3	6	4	4	4	3	1	5	5	4	2	387
10	10	10	10	9	98	10	10	10	10	10	10	10	5	10	10	10	5	10	10	10	10	5	5	5	10	10	10	10	2	182
10	10	98	10	10	98	10	10	10	10	10	10	98	98	10	10	10	10	10	10	10	8	8	10	98	10	10	10	10	2	21
10	10	10	10	7	8	10	10	10	9	10	10	10	10	9	9	10	10	10	8	10	10	7	7	9	10	10	10	10	2	380
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	2	354
10	10	8	10	9	8	10	10	10	10	10	10	98	10	10	10	10	10	10	10	10	10	9	9	8	9	10	10	9	2	75
9	10	98	8	8	98	10	9	10	10	8	8	8	8	8	8	8	8	8	8	10	8	98	98	98	5	8	8	9	2	307
9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	9	9	9	9	9	9	98	10	10	10	10	2	55
10	10	10	10	7	98	10	10	10	10	10	8	10	10	10	10	10	10	10	10	10	98	98	8	98	10	10	10	7	2	116
9	9	9	10	7	7	10	10	10	9	10	9	8	8	8	10	7	9	9	7	10	7	8	8	8	10	9	10	9	2	218
9	9	8	10	6	98	10	10	10	10	9	9	9	8	8	9	8	9	9	6	10	6	8	8	98	10	98	7	8	2	277
9	9	9	9	9	98	8	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	98	10	9	9	9	2	446
9	9	8	8	6	5	8	8	8	9	8	9	9	8	7	8	9	10	10	8	10	7	5	5	8	10	8	8	8	2	186
8	10	10	10	8	5	9	9	9	9	10	8	8	9	10	10	9	98	10	10	10	10	8	8	9	10	10	10	9	2	54
9	9	98	6	98	98	10	10	10	9	9	9	98	9	9	8	9	9	9	6	9	98	8	8	8	8	8	8	8	2	437
9	9	8	9	9	98	10	9	9	9	9	9	9	9	10	9	9	9	9	9	10	9	7	7	8	8	9	9	8	2	89
8	8	8	9	9	8	10	10	10	8	10	10	9	8	9	7	8	9	10	9	10	9	9	9	8	7	98	9	9	2	359
8	9	9	9	7	98	8	9	9	9	8	9	8	7	9	9	9	98	8	8	10	8	8	8	8	10	9	9	8	2	151
9	2	9	9	8	7	10	10	10	9	9	9	8	10	9	9	9	9	8	8	9	9	5	5	5	9	9	9	7	2	63
8	10	9	9	98	98	10	10	10	9	9	98	9	8	9	9	9	98	9	9	10	5	8	8	8	10	9	10	8	2	282
8	9	9	9	8	8	8	8	8	9	9	8	8	98	9	8	8	98	9	7	10	7	10	9	9	1	9	9	8	2	74
