Manifest	Image	Expect	ProdQ	ServQ	Value	EPSI	Loyal
Q3	0	0	0	0	0	-1	0
Q4a	-1	0	0	0	0	0	0
Q4b	-1	0	0	0	0	0	0
Q4c	-1	0	0	0	0	0	0
Q4d	-1	0	0	0	0	0	0
Q4e	-1	0	0	0	0	0	0
Q5a	0	-1	0	0	0	0	0
Q5b	0	-1	0	0	0	0	0
Q5c	0	-1	0	0	0	0	0
Q6	0	0	0	0	0	-1	0
Q7a	0	0	-1	0	0	0	0
Q7b	0	0	-1	0	0	0	0
Q7c	0	0	-1	0	0	0	0
Q7d	0	0	-1	0	0	0	0
Q7e	0	0	-1	0	0	0	0
Q7f	0	0	-1	0	0	0	0
Q7g	0	0	-1	0	0	0	0
Q7h	0	0	-1	0	0	0	0
Q7i	0	0	-1	0	0	0	0
Q7j	0	0	0	-1	0	0	0
Q7k	0	0	0	-1	0	0	0
Q7l	0	0	0	-1	0	0	0
Q8a	0	0	0	0	-1	0	0
Q8b	0	0	0	0	-1	0	0
Q8c	0	0	0	0	-1	0	0
Q10	0	0	0	0	0	0	-1
Q15	0	0	0	0	0	0	-1
Q15b	0	0	0	0	0	0	-1
Q16	0	0	0	0	0	-1	0
